Key,Koreana
perkGreaseMonkeyRank2Desc,미니바이크 마스터
perkGreaseMonkeyRank3Desc,튜닝 매니아
perkGreaseMonkeyRank2LongDesc,"미니바이크를 제작할 수 있습니다\n기름, 미니바이크 섀시,미니바이크 핸들바,미니바이크,[ffbdbd]골프카트[-] 레시피 해제"
perkGreaseMonkeyRank3LongDesc,"기계공 작업대를 제작할 수 있습니다\n기계공 작업대,차량 개조: 터보 엔진,차량 개조: 친환경 엔진,차량 개조: 가시,차량 개조: 장갑 강화,차량 개조: 제논 헤드라이트,석유통\n[ffbdbd]Junker, Rat, Cruiser, DirtBike[-] 레시피 해제"
perkMasterMechanicRank1Desc,"오토바이와 부품,4x4 트럭과 부품,머슬카와 부품,오일 펌프,엔진,차량용 납 배터리,임팩트 드라이버,자동 샷건의 레시피 해제\n곤봉,해머,로보틱 터렛,분해도구,샷건의 제작등급 +10\n[ffbdbd]BoxTruck, Buddy, Humvee, HotRod, SHERP, Charger, Stallion, WorkTruck, Nova, Pickup, GNX, UAZ452.[-] 레시피 해제"
perkGolfCartName,[ffbdbd]골프카트[-]
perkGolfCartDesc,골프카트 레시피 해제
perkGolfCartRank1Desc,"Unlocks the Golfcart. [DECEA3]요구사항:[-] 플레이어 레벨 20, 직업: 기계공 불가"
perkJunkerName,[ffbdbd]Junker[-]
perkJunkerDesc,Unlocks the Junker
perkJunkerRank1Desc,"Unlocks the Junker. [DECEA3]요구사항:[-] 플레이어 레벨 30, 직업: 기계공 불가"
perkRatName,[ffbdbd]Rat[-]
perkRatDesc,Unlocks the Rat
perkRatRank1Desc,"Unlocks the Rat. [DECEA3]요구사항:[-] 플레이어 레벨 30, 직업: 기계공 불가"
perkCruiserName,[ffbdbd]Cruiser[-]
perkCruiserDesc,Unlocks the Cruiser
perkCruiserRank1Desc,"Unlocks the Cruiser. [DECEA3]요구사항:[-] 플레이어 레벨 30, 직업: 기계공 불가"
perkDirtBikeName,[ffbdbd]DirtBike[-]
perkDirtBikeDesc,Unlocks the DirtBike
perkDirtBikeRank1Desc,"Unlocks the DirtBike. [DECEA3]요구사항:[-] 플레이어 레벨 30, 직업: 기계공 불가"
perkMilitaryVehiclesName,[ffbdbd]Military Vehicles[-]
perkMilitaryVehiclesDesc,"Unlocks the BRDM2, MRAP and Marauder"
perkMilitaryVehiclesRank1Desc,"Unlocks the BRDM2, MRAP and Marauder. [DECEA3]요구사항:[-] 플레이어 레벨 60, 기계 전문가"
BVGolfCartBook,Golfcart Guide
BVGolfCartBookDesc,Teaches you how to craft a Golfcart
BVJunkerBook,Junker Guide
BVJunkerBookDesc,Teaches you how to craft a Junker
BVRatBook,Rat Guide
BVRatBookDesc,Teaches you how to craft a Rat
BVCruiserBook,Cruiser Guide
BVCruiserBookDesc,Teaches you how to craft a Cruiser
BVDirtBikeBook,DirtBike Guide
BVDirtBikeBookDesc,Teaches you how to craft a DirtBike
BVMilitaryVehicleBook,Military Vehicles Guide
BVmilitaryVehicleDesc,Teaches you how to craft the Military Vehicles
